Monthly,,
,Mkt-RF,RF
198109,-7.17,1.24
198110,4.92,1.21
198111,3.36,1.07
198112,-3.65,0.87
198201,-3.24,0.8
198202,-5.86,0.92
198203,-1.87,0.98
198204,3.27,1.13
198205,-3.99,1.06
198206,-3.09,0.96
198207,-3.19,1.05
198208,11.14,0.76
198209,1.29,0.51
198210,11.3,0.59
198211,4.67,0.63
198212,0.55,0.67
198301,3.6,0.69
198302,2.59,0.62
198303,2.82,0.63
198304,6.67,0.71
198305,0.52,0.69
198306,3.07,0.67
198307,-4.07,0.74
198308,-0.5,0.76
198309,0.91,0.76
198310,-3.44,0.76
198311,2.16,0.7
198312,-1.78,0.73
198401,-1.92,0.76
198402,-4.82,0.71
198403,0.63,0.73
198404,-0.51,0.81
198405,-5.97,0.78
198406,1.82,0.75
198407,-2.74,0.82
198408,10.28,0.83
198409,-0.8,0.86
198410,-0.84,1
198411,-1.76,0.73
198412,1.84,0.64
198501,7.99,0.65
198502,1.22,0.58
198503,-0.84,0.62
198504,-0.96,0.72
198505,5.09,0.66
198506,1.27,0.55
198507,-0.74,0.62
198508,-1.02,0.55
198509,-4.54,0.6
198510,4.02,0.65
198511,6.48,0.61
198512,3.88,0.65
198601,0.65,0.56
198602,7.13,0.53
198603,4.88,0.6
198604,-1.31,0.52
198605,4.62,0.49
198606,1.03,0.52
198607,-6.45,0.52
198608,6.07,0.46
198609,-8.6,0.45
198610,4.66,0.46
198611,1.17,0.39
198612,-3.27,0.49
198701,12.47,0.42
198702,4.39,0.43
198703,1.64,0.47
198704,-2.11,0.44
198705,0.11,0.38
198706,3.94,0.48
198707,3.85,0.46
198708,3.52,0.47
198709,-2.59,0.45
198710,-23.24,0.6
198711,-7.77,0.35
198712,6.81,0.39
198801,4.21,0.29
198802,4.75,0.46
198803,-2.27,0.44
198804,0.56,0.46
198805,-0.29,0.51
198806,4.79,0.49
198807,-1.25,0.51
198808,-3.31,0.59
198809,3.3,0.62
198810,1.15,0.61
198811,-2.29,0.57
198812,1.49,0.63
198901,6.1,0.55
198902,-2.25,0.61
198903,1.57,0.67
198904,4.33,0.67
198905,3.35,0.79
198906,-1.35,0.71
198907,7.2,0.7
198908,1.44,0.74
198909,-0.76,0.65
198910,-3.67,0.68
198911,1.03,0.69
198912,1.16,0.61
199001,-7.85,0.57
199002,1.11,0.57
199003,1.83,0.64
199004,-3.36,0.69
199005,8.42,0.68
199006,-1.09,0.63
199007,-1.9,0.68
199008,-10.15,0.66
199009,-6.12,0.6
199010,-1.92,0.68
199011,6.35,0.57
199012,2.46,0.6
199101,4.69,0.52
199102,7.19,0.48
199103,2.65,0.44
199104,-0.28,0.53
199105,3.65,0.47
199106,-4.94,0.42
199107,4.24,0.49
199108,2.32,0.46
199109,-1.59,0.46
199110,1.29,0.42
199111,-4.19,0.39
199112,10.84,0.38
199201,-0.59,0.34
199202,1.09,0.28
199203,-2.66,0.34
199204,1.07,0.32
199205,0.3,0.28
199206,-2.34,0.32
199207,3.77,0.31
199208,-2.38,0.26
199209,1.19,0.26
199210,1.02,0.23
199211,4.13,0.23
199212,1.53,0.28
199301,0.93,0.23
199302,0.12,0.22
199303,2.3,0.25
199304,-3.05,0.24
199305,2.89,0.22
199306,0.31,0.25
199307,-0.34,0.24
199308,3.71,0.25
199309,-0.12,0.26
199310,1.41,0.22
199311,-1.89,0.25
199312,1.65,0.23
199401,2.87,0.25
199402,-2.55,0.21
199403,-4.78,0.27
199404,0.68,0.27
199405,0.58,0.31
199406,-3.03,0.31
199407,2.82,0.28
199408,4.01,0.37
199409,-2.31,0.37
199410,1.34,0.38
199411,-4.04,0.37
199412,0.86,0.44
199501,1.8,0.42
199502,3.63,0.4
199503,2.19,0.46
199504,2.11,0.44
199505,2.9,0.54
199506,2.72,0.47
199507,3.72,0.45
199508,0.55,0.47
199509,3.35,0.43
199510,-1.52,0.47
199511,3.96,0.42
199512,1.03,0.49
199601,2.26,0.43
199602,1.33,0.39
199603,0.73,0.39
199604,2.06,0.46
199605,2.36,0.42
199606,-1.14,0.4
199607,-5.97,0.45
199608,2.77,0.41
199609,5.01,0.44
199610,0.86,0.42
199611,6.25,0.41
199612,-1.7,0.46
199701,4.98,0.45
199702,-0.49,0.39
199703,-5.02,0.43
199704,4.04,0.43
199705,6.74,0.49
199706,4.1,0.37
199707,7.33,0.43
199708,-4.15,0.41
199709,5.35,0.44
199710,-3.8,0.42
199711,2.98,0.39
199712,1.32,0.48
199801,0.15,0.43
199802,7.04,0.39
199803,4.76,0.39
199804,0.73,0.43
199805,-3.07,0.4
199806,3.18,0.41
199807,-2.46,0.4
199808,-16.08,0.43
199809,6.15,0.46
199810,7.13,0.32
199811,6.1,0.31
199812,6.16,0.38
199901,3.5,0.35
199902,-4.08,0.35
199903,3.45,0.43
199904,4.33,0.37
199905,-2.46,0.34
199906,4.77,0.4
199907,-3.49,0.38
199908,-1.38,0.39
199909,-2.79,0.39
199910,6.12,0.39
199911,3.37,0.36
199912,7.72,0.44
200001,-4.74,0.41
200002,2.45,0.43
200003,5.2,0.47
200004,-6.4,0.46
200005,-4.42,0.5
200006,4.64,0.4
200007,-2.51,0.48
200008,7.03,0.5
200009,-5.45,0.51
